case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,steps_comments,comment,stacktrace,priority,severity,automation,type,tags,is_muted,case_parameter
29,"Successful login with standard user","Authentication & Security",10,"Marcie Jimenez",44959,Passed,"2026-04-06 18:55:51","1. Enter `${standard_user}` and `${valid_password}`
2. Click on the Login button
","1. 
2. 
","1. 
2. Redirection to /inventory.html. Shopping cart is visible.
","1. Untested
2. Untested
","1. 
2. ",,,High,Blocker,Manual,Functional,,false,
30,"Access blocked for locked out user","Authentication & Security",10,"Marcie Jimenez",47867,Passed,"2026-04-06 18:56:40","1. Enter `${locked_user}` and `${valid_password}`
2. Click on the Login button
","1. 
2. 
","1. 
2. Error message displayed: ""Epic sadface: Sorry, this user has been locked out.""
","1. Untested
2. Untested
","1. 
2. ",,,High,Critical,Manual,Functional,,false,
31,"Login rejection due to invalid credentials","Authentication & Security",10,"Marcie Jimenez",41841,Passed,"2026-04-06 18:57:23","1. Enter `${standard_user}` and an invalid password
2. Click on the Login button
","1. 
2. 
","1. 
2. Error message. Epic sadface: Username and password do not match any user in this service
","1. Untested
2. Untested
","1. 
2. ",,,High,Major,Manual,Functional,,false,
32,"Mandatory fields validation on login","Authentication & Security",10,"Marcie Jimenez",28062,Passed,"2026-04-06 18:57:52","1. Leave Username and Password fields empty
2. Click on the Login button
","1. 
2. 
","1. 
2. Error message displayed: ""Epic sadface: Username is required"".
","1. Untested
2. Untested
","1. 
2. ",,,Medium,Minor,Manual,Functional,,false,
33,"Protection of unauthenticated routes (BOLA)","Authentication & Security",10,"Marcie Jimenez",44105,Passed,"2026-04-06 18:58:37","1. Navigate directly to `https://www.saucedemo.com/inventory.html`
","1. 
","1. Access denied. Error message is displayed. ""Epic sadface: You can only access '/inventory.html' when you are logged in.""
","1. Untested
","1. ",,,High,Critical,Manual,Security,,false,
34,"Session destruction on Logout and browser Cache","Authentication & Security",10,"Marcie Jimenez",68411,Passed,"2026-04-06 18:59:46","1. Click on the hamburger menu -> Select Logout
2. Click the browser's 'Back' button
","1. 
2. 
","1. Redirected to login page.
2. Inventory does not load (or requires login). Session is not recovered.
","1. Untested
2. Untested
","1. 
2. ",,,High,Major,Manual,Security,,false,
35,"SQL Injection prevention on Username field","Authentication & Security",10,"Marcie Jimenez",35819,Passed,"2026-04-06 19:00:23","1. Enter `' OR 1=1 --` in Username and any text in Password
2. Click on the Login button
","1. 
2. 
","1. 
2. System does not crash. Payload is handled as plain text and access is denied.
","1. Untested
2. Untested
","1. 
2. ",,,High,Major,Manual,Security,,false,
36,"Cross-Site Scripting (XSS) prevention on login","Authentication & Security",10,"Marcie Jimenez",105386,Passed,"2026-04-06 19:02:10","1. Enter `` in Username and any text in Password
2. Click on the Login button
","1. 
2. 
","1. 
2. The alert() is not executed. Input is treated as plain text and access is denied.
","1. Untested
2. Untested
","1. 
2. ",,,High,Major,Manual,Security,,false,
37,"Low performance user validation (Performance Glitch)","Authentication & Security",10,"Marcie Jimenez",52923,Passed,"2026-04-06 19:03:04","1. Login using `${performance_user}` and `${valid_password}`
","1. 
","1. System grants access, correctly handling the induced delay without throwing Timeout errors.
","1. Untested
","1. ",,,Medium,Minor,Manual,Performance,,false,
38,"All products displayed on inventory page","Inventory Management",15,"Marcie Jimenez",78757,Passed,"2026-04-06 19:04:24","1. Navigate to /inventory.html after login
2. Verify each product card contains: image, name, description, price and Add to cart button
","1. 
2. 
","1. Page loads successfully. 6 product cards are displayed.
2. All product cards are complete with all required elements.
","1. Passed
2. Passed
","1. 
2. ",,,High,Blocker,Manual,Functional,,false,
